,Date_InitialTag,Transect,TransectNum,OldTagNum,NewTagNum,Species,Meter,Meters_90,Direction,Size_Class,MaxDiameter,Height,Date_DocumentedDisease,Date_DocumentedMortality,Notes_062019,062019_Condition,062019_Percentage,Notes_052022,052022_Condition,052022_Percentage,Notes_122022,122022_Condition,122022_Percentage,Notes_092023,092023_Condition,092023_Percentage,Notes_112023,112023_Condition,112023_Percentage,Notes_122023,122023_Condition,122023_Percentage,Notes_012024,012024_Condition,012024_Percentage,Notes_022024,022024_Condition,022024_Percentage,Notes_042024,042024_Condition,042024_Percentage,062024_Condition,062024_Percentage,Notes_062024,082024_Condition,082024_Percentage,Notes_082024,122024_Condition,122024_Percentage,Notes_122024,062025_Condition,062025_Percentage,Notes_062025,immune_y/n,checked_colonies
12,10/15/19,CBC30N,1,418,12,PSTR,14.7,1,left,NA,43,33,Healthy,Healthy,mucus_sample_taken_adjacent_to_punch,Healthy,NA,NA,Healthy,NA,,Healthy,,,Healthy,,,CLP,100%,,Healthy,,,Healthy,,,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,5% mortality,Healthy,,,y,x
13,6/24/19,CBC30N,1,395,13,PAST,15.8,1.4,right,4,45,18,Healthy,12/16/23,,Healthy,NA,fish predation,Healthy,NA,fish predation,Healthy,,,Healthy,,,CLP,100%,no picture,Dead,,no picture,Dead,,,Dead,,,Dead,,Dead,,pic of live coral is the wrong colony (it is still dead),Dead,,,Dead,,5% mortality,Dead,,,y,x
14,6/24/19,CBC30N,1,381,14,MCAV,17.2,0.05,left,3,25,24,5/21/22,12/2/22,,Healthy,NA,15% mort,Diseased,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Dead,,,n,x
15,6/26/19,CBC30N,1,359,15,MCAV,16.7,1.5,left,5,33,24,5/21/22,12/2/22,,Healthy,NA,90% mort,Diseased,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Dead,,,n,x
16,6/24/19,CBC30N,1,384,16,SSID,30,5,right,5,115,55,5/21/22,Diseased,,Healthy,NA,NA,Diseased,NA,,Diseased,,,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Diseased,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,DC,50%,50% mortality,Diseased,,,n,x
17,6/24/19,CBC30N,1,388,17,SSID,26,1.1,right,4,57,22,5/21/22,Diseased,,Healthy,NA,NA,Diseased,NA,,Diseased,,,"Diseased, CLB","NA,50%",Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Diseased,,Not visited,Not_Visited,,,"Diseased, CLP","NA, 60%",Not_Visited,,,Not_Visited,,,"DC,TL","50%,10%",20% mortality,Diseased,,,n,help (042024)
19,6/21/19,CBC30N,1,303,19,PAST,11.6,0.5,left,4,26,6,5/21/22,4/1/24,,Healthy,NA,30% mort,Diseased,NA,wrong colony sampled??,Healthy,,no sample - wrong colony sampled ,CLB,100%,,Not_Visited,,,Not_Visited,,"95% TL, 5% CLB, wrong colony sampled (unclear from pic which one, but both healthy options are wrong)",CLB,100%,,Not_Visited,,no sample -  wrong colony sampled. (likely the same one from 092023),Dead,,Not_Visited,,,Not_Visited,,,Dead,,,Dead,,,n,help - is 1220222 wrong coral?
20,6/24/19,CBC30N,1,386,20,PAST,12.7,2.9,right,3,48,5,12/2/22,4/26/24,,Healthy,NA,,Healthy,NA,"60% mort, damselfish predation ",Diseased,,,Healthy,,,Not_Visited,,,Not_Visited,,80% mort,CLP,100%,,Not_Visited,,"99% mortality, very small amount left (not sampled)",Healthy,,Not_Visited,,,Not_Visited,,,Dead,,Dead,Dead,,we might need to check this one again ,n,x
21,6/24/19,CBC30N,1,397,21,PAST,4,4,right,3,25,4,Healthy,8/1/24,fish predation ,Healthy,NA,50% old mort,Healthy,NA,,Healthy,,paling on perimeter ,CLP,10%,,CLP,100%,"90% mort, some dark spoltches ","CLB,CLP","10%,90%",,CLP,100%,"95% mortality, too small for immune sample",Healthy,,,Healthy,,Healthy,,"basically Dead, few polyps left; not enough to sample ",Dead,,,Not_visited,,,Dead,,,y,x
22,5/21/22,CBC30N,1,22,22,OANN,5,5,right,NA,38,20,12/2/22,Diseased,,NA,NA,fish predation,Healthy,NA,5% mortality ,Diseased,,30% mortality ,Diseased,,,Not_Visited,,,Not_Visited,,50% mortality ,Diseased,,,Not_Visited,,50% mortality ,CLP,95%,Not_Visited,,,Not_Visited,,,Healthy,,,CLP,60%,,n,x
23,5/21/22,CBC30N,1,23,23,OANN,2.5,0.7,right,NA,40,42,Healthy,Healthy,,NA,NA,"10% old mort, fish predation ",DC,40%,,Healthy,,20% mortality ,CLB,,,Not_Visited,,,Not_Visited,,,Healthy,,,Not_Visited,,"TL, doesn't look like active disease ",CLP,10%,Not_Visited,,,Not_Visited,,,CLB,20%,,Healthy,,,n,x
18,6/24/19,CBC30N,1,380,24,MCAV,9.9,3,left,4,19,30,Healthy,Healthy,,Healthy,NA,NA,Healthy,NA,,Healthy,,,CLP,10%,,CLP,100%,Healthy ,Healthy,,no picture,Healthy,,,Healthy,,,Healthy,,Healthy,,,Healthy,,pale spot from sponge competition (not on part sampled),Healthy,,95% mortality,Healthy,,,y,x
24,5/25/22,CBC30N,1,25,25,OANN,13.9,0.5,right,NA,30,20,Healthy,Healthy,,NA,NA,fish predation,Healthy,NA,,Healthy,,snail predation ,CLP,20%,,CLB,10%,,CLP,5%,,Healthy,,Some small lesions likely from snail predation- found 4 snails; sampled as healthy,Healthy,,,Healthy,predation,Healthy,,some predation,CLP,5%,5% CLP,Healthy,,"TL 5% were snails, 20% mortality",CLB,10%,,y,x
25,5/25/22,CBC30N,1,27,27,DLAB,14.5,4,left,NA,35,27,12/2/22,Diseased,,NA,NA,20% old mort,Healthy,NA,5% recent mort,Diseased,,,Healthy,,,Not_Visited,,,Not_Visited,,,Healthy,,,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,5% mortality,Healthy,,,n,x
26,5/25/22,CBC30N,1,35,35,DLAB,14.5,0.8,left,NA,30,17,Healthy,Healthy,,NA,NA, 5% old mort,Healthy,NA,greying at perimeter,DC,2%,very minor snail predation,CLP,90%,,Not_Visited,,,Not_Visited,,palness intensified ,"CLP,DC","85%,20%",,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,CLP,90%,15% mortality,Healthy,,,n,x
28,6/21/19,CBC30N,1,329,329,MCAV,4.9,1.2,right,4,29,19,Unknown,5/21/22,10% old mort,Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
30,6/21/19,CBC30N,1,333,333,MCAV,13.6,0.9,left,3,20,19,Unknown,5/21/22,,Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
31,6/21/19,CBC30N,1,335,335,MMEA,16.8,1.3,left,3,14,6,Unknown,5/21/22,,Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
29,6/21/19,CBC30N,1,342,342,MCAV,9,0.7,left,3,28,25,Unknown,5/21/22,20% old mort,Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
27,6/21/19,CBC30N,1,355,355,MCAV,3.6,0.5,left,4,35,12,Unknown,5/21/22,,Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
32,6/24/19,CBC30N,1,382,382,MMEA,30,6.8,right,2,19,18,Unknown,5/21/22,,Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
34,10/15/19,CBC30N,1,404,404,PSTR,10.1,4.5,left,NA,35,33,Unknown,5/21/22,mucus_sample_taken_adjacent_to_punch,Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
33,10/15/19,CBC30N,1,417,417,PSTR,6.3,3.25,right,NA,28,24,Unknown,5/21/22,mucus_sample_taken_adjacent_to_punch,Healthy,NA,NA,Dead,NA,,Dead,,,Dead,,,Dead,,,Dead,,,Dead,,,Dead,,,Dead,,Dead,,,Not_Visited,,,Not_visited,,,,,,n,x
36,10/15/19,CBC30N,1,419,419,PSTR,22.7,4.5,right,NA,56,44,Unknown,5/21/22,"mucus_sample_taken_adjacent_to_punch, snail predation",Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
35,10/15/19,CBC30N,1,422,422,PSTR,20.8,4,left,NA,48,30,Unknown,5/21/22,"mucus_sample_taken_adjacent_to_punch, snail predation",Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
37,12/5/22,SR30N,2,NA,28,PSTR,15.6,1.2,right,NA,37,25,12/4/22,9/26/23,,NA,NA,,NA,NA,45% mortality,Diseased,,Dead,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
38,12/5/22,SR30N,2,NA,29,OFAV,16,1.1,right,NA,40,40,Healthy,Healthy,,NA,NA,,NA,,no photos,Healthy,,,"CLP,CLB","10%,50%",Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,5% mortality,Healthy,,,n,x
39,12/5/22,SR30N,2,NA,30,OANN,21.6,4.2,left,NA,65,50,12/4/22,Diseased,,NA,NA,,NA,NA,20% mort,Diseased,,,"CLP,CLB","10%,80%",Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no sample,CLP,75%,Not visited,Not_Visited,,,CLP,30%,Not_Visited,,,Not_Visited,,,Healthy,,70% mortality,Healthy,,,n,x
40,12/5/22,SR30N,2,NA,31,DLAB,23,2.7,left,NA,39,18,Healthy,Healthy,,NA,NA,,NA,NA,,Healthy,,,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,5% mortality,Healthy,,,n,x
41,12/5/22,SR30N,2,NA,32,PSTR,5,5,right,NA,20,18,Healthy,Healthy,,NA,NA,,NA,NA,,Healthy,,100%Pale ,CLP,100%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,5% mortality,Healthy,,,n,x
79,6/25/19,SR30N,2,47,47,PAST,19.6,0.1,left,4,NA,NA,Healthy,Healthy,"orange_tag, no photos",Healthy,NA,no photos - not found,Not_Visited,NA,no photos,Not_Visited,,,Not_Visited,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,Healthy,,,n,help (is this supposed to be pstr 47? Or is this one of the mystery corals? Or did it die?)
42,6/25/19,SR30N,2,91,51,SSID,11,4.8,left,4,37,25,5/22/22,12/1/22,orange_tag,Healthy,NA,TL/DC_very_little_tissue;_no_pic_of_coral_but_tagged_with_yellow_numberless_tag,Diseased,NA,,Dead,,"all ""51"" samples from here forward are actually newly tagged 99",Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Healthy,,"95% mort, veryy few isolates left; not enough to sample",Not_Visited,,,Not_visited,,,,,,n,"help (no old photos, what to call 062024 condition)"
43,6/25/19,SR30N,2,36,52,SSID,28.4,3.9,left,5,45,25,5/22/22,Diseased,"orange_tag,_tag_cut_off",Healthy,NA,"25% mort, TL/DC",Diseased,NA,30% mort,Diseased,,,Diseased,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Diseased,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,"CLB,DC","60%, 10%","TL, 95% mortality",Diseased,,not enough tissue for diseased_tissue sample,n,x
44,6/22/19,SR30N,2,337,53,MCAV,10.5,3,left,4,27,31,Healthy,Healthy,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,NA,Healthy,NA,,Healthy,,Healthy,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,Healthy,,,Healthy,,,n,x
45,10/13/19,SR30N,2,414,54,PSTR,18.5,6.5,left,4,35,17,Healthy,Healthy,took_syringe_samples_adjacent_to_punch,Healthy,NA,NA,Healthy,NA,,Healthy,,"CLP 10%, lesion - snail or sctld?","Diseased, CLP",",10%",Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no sample,CLP,50%,Not visited,Not_Visited,,"BBD, inc old mort ",Diseased_Other,,Not_Visited,,,Not_Visited,,,CLP,20%,30% mortality,Healthy,,,n,x
46,6/25/19,SR30N,2,34,55,MCAV,19.5,1.8,left,3,22,23,Healthy,Healthy,"orange_tag,_next_to_389",Healthy,NA,20% _mortality_occurred_where_ATEN_was_touching_MCAV_34_in_2019_pic,Healthy,NA,,Healthy,,,CLP,5%,100% Pale ,CLP,100%,"50% Bleached, 10% Pale ","CLP,CLB","10%,50%",Healthy,CLP,30%,,Healthy,,,Healthy,,Healthy,,,Healthy,,,CLP,5%,20% mortality,Healthy,,,y,x
47,6/25/19,SR30N,2,389,56,PAST,18.2,1.8,left,4,31,18,5/22/22,4/26/24,tag_cut_off,Healthy,NA,"10% mort, Increased_old_mortality,_sampled_as_diseased_but_uncertain",Diseased,NA,"50% mort, fish predation",Healthy,,,Healthy,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Dead,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,,,,n,x
78,6/25/19,SR30N,2,56,56,MCAV,16.5,4,left,3,NA,NA,Unknown,5/22/22,"orange_tag,_mucus_sheaths",Healthy,NA,NA,Dead,NA,,Not_Visited,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
48,6/25/19,SR30N,2,392,57,PAST,17.3,1,right,3,24,15,Healthy,Healthy,,Healthy,NA,NA,Healthy,NA,,Healthy,,,Healthy,,70% Bleached 30% Pale ,"CLP,CLB","30%,70%",5% Bleach 5% Pale; no picture ,"CLP,CLB","5%,5%",Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,some predation,Healthy,,,Healthy,,5% mortality,Healthy,,,y,x
49,10/13/19,SR30N,2,421,58,PSTR,2,6,left,4,33,21,NA,12/2/22,took_syringe_samples_adjacent_to_punch,Healthy,NA,NA,Healthy,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
50,6/21/19,SR30N,2,339,59,MCAV,20.6,4.5,right,5,45,40,5/22/22,Diseased,"30%, mort, processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,"45%_mortality,_not_sure_if_SCTLD_(not_rapid?)_--_missed_sample",Diseased,NA,50% mort,Healthy,,,CLP,80%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Healthy,,Not visited,Not_Visited,,,Healthy,,Not_Visited,,,Not_Visited,,,CLP,5%,30% mortality,Healthy,,,n,x
51,6/22/19,SR30N,2,305,60,MCAV,21.5,2.9,right,4,28,20,Healthy,Healthy,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,NA,Healthy,NA,,Healthy,,"clb 20%, clp 10%","CLP,CLB","10%,20%",100% Pale ,CLP,100%,30% Bleached ,CLB,30%,Healthy,Healthy,,,Healthy,,,Healthy,,Healthy,,,Healthy,,,Healthy,,5% mortality,Healthy,,,y,x
52,6/22/19,SR30N,2,356,61,MCAV,19.5,1.3,right,4,27,20,NA,12/4/22,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,"Moved_in_storm?_Found_upside_down_and_righted_colony,_few_polyps_left; in pic looks close to dead, but there is 1 sample taken",Healthy,NA,no photos,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
53,10/13/19,SR30N,2,406,62,PSTR,17.9,4.5,right,5,65,70,NA,12/4/22,took_syringe_samples_adjacent_to_punch,Healthy,NA,"60% mort, Lots_more_old_dead_than_2019,_one_spot_of_focal_CL",Healthy,NA,,Dead,,,Not_Visited,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
54,6/25/19,SR30N,2,41,63,PAST,15,1.3,right,3,17,15,Healthy,Healthy,"orange_tag,_tag_cut_off",Healthy,NA,10% mort,Healthy,NA,,Healthy,,,Healthy,,95% Bleached 5% Pale ,"CLP,CLB","5%,95%","5% Bleach , 10% Pale; no picture ","CLP,CLB","10%,5%",Healthy; no picture ,Healthy,,Healthy,Healthy,,no picture,Healthy,,Healthy,,,Healthy,,,Healthy,,5% mortality,Healthy,,,y,x
55,6/21/19,SR30N,2,354,64,CNAT,15.2,0,center,6,105,40,Healthy,1/11/24,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,NA,Healthy,NA,,Healthy,,100% Pale,CLP,100%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,Dead,Dead,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,Dead,,,,n,x
56,10/13/19,SR30N,2,400,65,PSTR,14.7,0.9,right,4,55,39,Healthy,9/26/23,"snail predation, took_syringe_samples_adjacent_to_punch",Healthy,NA,NA,Healthy,NA,,Healthy,,Dead,Dead,,NA,Not_Visited,,NA,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
57,6/25/19,SR30N,2,393,66,SSID,10.4,1.45,right,4,37,22,5/22/22,Diseased,tag_cut_off,Healthy,NA,"25% mort, TL/DC",Diseased,NA,no photos,Diseased,,"100% Bleached, Sampled as Diseased, very few isolates left  ",CLB,100%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,few isolates left,CLB,50%,Not visited,Not_Visited,,,Not_Visited,,Diseased,,weird SSID disease; very few isolates left; not sampled,Not_Visited,,,CLP,100%,98% mortality,Diseased,,,n,help (012024 and 062024 conditions)
58,6/21/19,SR30N,2,336,67,SSID,10.4,0.4,right,4,40,23,5/22/22,6/21/24,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,"20% mort, TL/DC,_live_DSTO_adjacent",Diseased,10%,95% mort,Diseased,,"100% Bleached, Sampled as Diseased ",CLB,100%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,no picture or sample,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Dead,,Checked on,Not_Visited,,,Not_visited,,Dead,,,,n,x
59,6/21/19,SR30N,2,348,68,PAST,5.8,1,left,4,35,16,Healthy,Healthy,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,"Mucus_sheathing,_mild",Healthy,NA,,Healthy,,,Healthy,,80% Mucus Sheathing ,Healthy,,Healthy ,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,Healthy,,Healthy,,damsel farming,Healthy,,some damselfish predation?,Healthy,,15% mortality,Healthy,,,y,x
60,6/25/19,SR30N,2,387,69,MCAV,5,5.5,right,3,27,30,Healthy,Healthy,30% mortality,Healthy,NA,"40% mort, Tissue_gone_since_tagged-old_mortality",Healthy,NA,,Healthy,,,Healthy,,100% Pale ,CLP,100%,"Healthy, some mortality ",Healthy,,Healthy,Healthy,,,Healthy,,,Healthy,,Healthy,,"some predation, old mort",Healthy,,old mortality,Healthy,,60% mortality,Healthy,,,y,x
61,10/13/19,SR30N,2,420,70,PSTR,3,5.5,right,3,32,25,5/22/22,12/4/22,took_syringe_samples_adjacent_to_punch,Healthy,NA,"60% mort, SCTLD",Diseased,NA,,Dead,,,Not_Visited,,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Not_Visited,,Not_Visited,,,Not_Visited,,,Not_visited,,,,,,n,x
62,6/22/19,SR30N,2,317,71,SSID,5.3,3.3,right,4,55,30,5/22/22,Diseased,"processing_delayed_because_of_power_steering_failure,_tow_time",Healthy,NA,"50% mort, Sheathing_TL/DC",Diseased,NA,95% mort,Diseased,,90%Pale,CLP,90%,Not Visited ,Not_Visited,,Not Visited ,Not_Visited,,,Not_Visited,,Not visited,Not_Visited,,,Diseased,,Not_Visited,,,Not_Visited,,,CLP,100%,98% mortality,Diseased,,,n,x
