,Habitat,SiteName,Date,npoints,TimePoint,Label,n,cover,Label_General,Label_Suscep
96,Forereef,CBC Central,23/05/2022,840,May-22,SPONGR,0,0,Sponge,x
97,Forereef,CBC Central,23/05/2022,840,May-22,SPONGV,1,0.119047619,Sponge,x
98,Forereef,CBC Central,23/05/2022,840,May-22,SPTU,0,0,Sponge,x
99,Forereef,CBC Central,23/05/2022,840,May-22,SRAD,0,0,All Stony Coral,x
100,Forereef,CBC Central,23/05/2022,840,May-22,SSID,6,0.714285714,All Stony Coral,SCTLD Suscep. Spp.
101,Forereef,CBC Central,23/05/2022,840,May-22,Sand,58,6.904761905,Sand,x
102,Forereef,CBC Central,23/05/2022,840,May-22,SpgOth,1,0.119047619,Sponge,x
103,Forereef,CBC Central,23/05/2022,840,May-22,TAPE,48,5.714285714,Unidentified,x
104,Forereef,CBC Central,23/05/2022,840,May-22,THAL,0,0,Thalassia,x
105,Forereef,CBC Central,23/05/2022,840,May-22,Tk Tf,61,7.261904762,Turf Algae,x
106,Forereef,CBC Central,23/05/2022,840,May-22,Tn Tf,319,37.97619048,Turf Algae,x
107,Forereef,CBC Central,23/05/2022,840,May-22,Turbin,0,0,Macroalgae,x
108,Forereef,CBC Central,23/05/2022,840,May-22,Unk,3,0.357142857,Unidentified,x
109,Forereef,CBC Central,10/10/2019,840,Oct-19,AAGA,2,0.238095238,All Stony Coral,x
110,Forereef,CBC Central,10/10/2019,840,Oct-19,ACER,0,0,All Stony Coral,x
111,Forereef,CBC Central,10/10/2019,840,Oct-19,AGAR,0,0,All Stony Coral,x
112,Forereef,CBC Central,10/10/2019,840,Oct-19,ALAM,0,0,All Stony Coral,x
113,Forereef,CBC Central,10/10/2019,840,Oct-19,ANTI,157,18.69047619,Octocoral,x
114,Forereef,CBC Central,10/10/2019,840,Oct-19,ATEN,24,2.857142857,All Stony Coral,x
115,Forereef,CBC Central,10/10/2019,840,Oct-19,BRAN-CALC,0,0,Macroalgae,x
116,Forereef,CBC Central,10/10/2019,840,Oct-19,BRIA,0,0,Octocoral,x
117,Forereef,CBC Central,10/10/2019,840,Oct-19,CCA 1,1,0.119047619,Hard Substrate,x
118,Forereef,CBC Central,10/10/2019,840,Oct-19,CLIONI,3,0.357142857,Sponge,x
119,Forereef,CBC Central,10/10/2019,840,Oct-19,CNAT,0,0,All Stony Coral,SCTLD Suscep. Spp.
120,Forereef,CBC Central,10/10/2019,840,Oct-19,CYAN,6,0.714285714,Cyanobacteria,x
121,Forereef,CBC Central,10/10/2019,840,Oct-19,Cyan red,0,0,Cyanobacteria,x
122,Forereef,CBC Central,10/10/2019,840,Oct-19,DLAB,3,0.357142857,All Stony Coral,SCTLD Suscep. Spp.
123,Forereef,CBC Central,10/10/2019,840,Oct-19,Dicsp,26,3.095238095,Macroalgae,x
124,Forereef,CBC Central,10/10/2019,840,Oct-19,ENSP,2,0.238095238,Sponge,x
125,Forereef,CBC Central,10/10/2019,840,Oct-19,EUNI,33,3.928571429,Octocoral,x
126,Forereef,CBC Central,10/10/2019,840,Oct-19,GORGO,18,2.142857143,Octocoral,x
127,Forereef,CBC Central,10/10/2019,840,Oct-19,GVEN,7,0.833333333,Octocoral,x
128,Forereef,CBC Central,10/10/2019,840,Oct-19,Hal_spp,11,1.30952381,Macroalgae,x
129,Forereef,CBC Central,10/10/2019,840,Oct-19,LSUB_RUB,41,4.880952381,Rubble,x
130,Forereef,CBC Central,10/10/2019,840,Oct-19,Lob_spp,0,0,Macroalgae,x
131,Forereef,CBC Central,10/10/2019,840,Oct-19,MALC,3,0.357142857,All Stony Coral,x
132,Forereef,CBC Central,10/10/2019,840,Oct-19,MCAV,1,0.119047619,All Stony Coral,SCTLD Suscep. Spp.
133,Forereef,CBC Central,10/10/2019,840,Oct-19,MCOM,0,0,All Stony Coral,x
134,Forereef,CBC Central,10/10/2019,840,Oct-19,MURI,0,0,Octocoral,x
135,Forereef,CBC Central,10/10/2019,840,Oct-19,MURO,0,0,Octocoral,x
136,Forereef,CBC Central,10/10/2019,840,Oct-19,Macro,66,7.857142857,Macroalgae,x
137,Forereef,CBC Central,10/10/2019,840,Oct-19,OANN,0,0,All Stony Coral,SCTLD Suscep. Spp.
138,Forereef,CBC Central,10/10/2019,840,Oct-19,OFAV,2,0.238095238,All Stony Coral,SCTLD Suscep. Spp.
139,Forereef,CBC Central,10/10/2019,840,Oct-19,Other Inv,0,0,Other Encrusting Invert,x
140,Forereef,CBC Central,10/10/2019,840,Oct-19,PALY,0,0,Other Encrusting Invert,x
141,Forereef,CBC Central,10/10/2019,840,Oct-19,PAST,10,1.19047619,All Stony Coral,x
142,Forereef,CBC Central,10/10/2019,840,Oct-19,PPOR,9,1.071428571,All Stony Coral,x
143,Forereef,CBC Central,10/10/2019,840,Oct-19,PSEUGORG,25,2.976190476,Octocoral,x
144,Forereef,CBC Central,10/10/2019,840,Oct-19,PSTR,7,0.833333333,All Stony Coral,SCTLD Suscep. Spp.
145,Forereef,CBC Central,10/10/2019,840,Oct-19,PTER,0,0,Octocoral,x
146,Forereef,CBC Central,10/10/2019,840,Oct-19,SHAD,4,0.476190476,Unidentified,x
147,Forereef,CBC Central,10/10/2019,840,Oct-19,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
148,Forereef,CBC Central,10/10/2019,840,Oct-19,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
149,Forereef,CBC Central,10/10/2019,840,Oct-19,SPONGB,6,0.714285714,Sponge,x
150,Forereef,CBC Central,10/10/2019,840,Oct-19,SPONGR,0,0,Sponge,x
151,Forereef,CBC Central,10/10/2019,840,Oct-19,SPONGV,3,0.357142857,Sponge,x
152,Forereef,CBC Central,10/10/2019,840,Oct-19,SPTU,4,0.476190476,Sponge,x
153,Forereef,CBC Central,10/10/2019,840,Oct-19,SRAD,0,0,All Stony Coral,x
154,Forereef,CBC Central,10/10/2019,840,Oct-19,SSID,17,2.023809524,All Stony Coral,SCTLD Suscep. Spp.
155,Forereef,CBC Central,10/10/2019,840,Oct-19,Sand,69,8.214285714,Sand,x
156,Forereef,CBC Central,10/10/2019,840,Oct-19,SpgOth,0,0,Sponge,x
157,Forereef,CBC Central,10/10/2019,840,Oct-19,TAPE,21,2.5,Unidentified,x
158,Forereef,CBC Central,10/10/2019,840,Oct-19,THAL,0,0,Thalassia,x
159,Forereef,CBC Central,10/10/2019,840,Oct-19,Tk Tf,84,10,Turf Algae,x
160,Forereef,CBC Central,10/10/2019,840,Oct-19,Tn Tf,169,20.11904762,Turf Algae,x
161,Forereef,CBC Central,10/10/2019,840,Oct-19,Turbin,1,0.119047619,Macroalgae,x
162,Forereef,CBC Central,10/10/2019,840,Oct-19,Unk,5,0.595238095,Unidentified,x
163,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,AAGA,6,0.714285714,All Stony Coral,x
164,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,ACER,0,0,All Stony Coral,x
165,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,AGAR,0,0,All Stony Coral,x
166,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,ALAM,1,0.119047619,All Stony Coral,x
167,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,ANTI,0,0,Octocoral,x
168,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,ATEN,82,9.761904762,All Stony Coral,x
169,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,BRAN-CALC,0,0,Macroalgae,x
170,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,BRIA,0,0,Octocoral,x
171,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,CCA 1,15,1.785714286,Hard Substrate,x
172,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,CLIONI,0,0,Sponge,x
173,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,CNAT,0,0,All Stony Coral,SCTLD Suscep. Spp.
174,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,CYAN,0,0,Cyanobacteria,x
175,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Cyan red,0,0,Cyanobacteria,x
176,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,DLAB,0,0,All Stony Coral,SCTLD Suscep. Spp.
177,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Dicsp,0,0,Macroalgae,x
178,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,ENSP,0,0,Sponge,x
179,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,EUNI,0,0,Octocoral,x
180,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,GORGO,30,3.571428571,Octocoral,x
181,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,GVEN,2,0.238095238,Octocoral,x
182,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Hal_spp,0,0,Macroalgae,x
183,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,LSUB_RUB,9,1.071428571,Rubble,x
184,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Lob_spp,0,0,Macroalgae,x
185,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,MALC,13,1.547619048,All Stony Coral,x
186,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,MCAV,7,0.833333333,All Stony Coral,SCTLD Suscep. Spp.
187,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,MCOM,1,0.119047619,All Stony Coral,x
188,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,MURI,0,0,Octocoral,x
189,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,MURO,0,0,Octocoral,x
190,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Macro,112,13.33333333,Macroalgae,x
191,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,OANN,7,0.833333333,All Stony Coral,SCTLD Suscep. Spp.
192,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,OFAV,0,0,All Stony Coral,SCTLD Suscep. Spp.
193,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Other Inv,0,0,Other Encrusting Invert,x
194,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,PALY,1,0.119047619,Other Encrusting Invert,x
195,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,PAST,8,0.952380952,All Stony Coral,x
196,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,PPOR,0,0,All Stony Coral,x
197,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,PSEUGORG,0,0,Octocoral,x
198,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,PSTR,3,0.357142857,All Stony Coral,SCTLD Suscep. Spp.
199,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,PTER,0,0,Octocoral,x
200,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SHAD,2,0.238095238,Unidentified,x
201,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
202,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
203,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SPONGB,2,0.238095238,Sponge,x
204,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SPONGR,0,0,Sponge,x
205,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SPONGV,0,0,Sponge,x
206,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SPTU,30,3.571428571,Sponge,x
207,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SRAD,0,0,All Stony Coral,x
208,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SSID,2,0.238095238,All Stony Coral,SCTLD Suscep. Spp.
209,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Sand,7,0.833333333,Sand,x
210,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,SpgOth,11,1.30952381,Sponge,x
211,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,TAPE,36,4.285714286,Unidentified,x
212,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,THAL,0,0,Thalassia,x
213,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Tk Tf,133,15.83333333,Turf Algae,x
214,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Tn Tf,318,37.85714286,Turf Algae,x
215,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Turbin,0,0,Macroalgae,x
216,Forereef,CBC Lagoon,01/12/2022,840,Dec-22,Unk,2,0.238095238,Unidentified,x
217,Forereef,CBC30N,04/01/2020,680,Jan-20,AAGA,4,0.588235294,All Stony Coral,x
218,Forereef,CBC30N,04/01/2020,680,Jan-20,ACER,0,0,All Stony Coral,x
219,Forereef,CBC30N,04/01/2020,680,Jan-20,AGAR,0,0,All Stony Coral,x
220,Forereef,CBC30N,04/01/2020,680,Jan-20,ALAM,0,0,All Stony Coral,x
221,Forereef,CBC30N,04/01/2020,680,Jan-20,ANTI,93,13.67647059,Octocoral,x
222,Forereef,CBC30N,04/01/2020,680,Jan-20,ATEN,17,2.5,All Stony Coral,x
223,Forereef,CBC30N,04/01/2020,680,Jan-20,BRAN-CALC,0,0,Macroalgae,x
224,Forereef,CBC30N,04/01/2020,680,Jan-20,BRIA,0,0,Octocoral,x
225,Forereef,CBC30N,04/01/2020,680,Jan-20,CCA 1,3,0.441176471,Hard Substrate,x
226,Forereef,CBC30N,04/01/2020,680,Jan-20,CLIONI,3,0.441176471,Sponge,x
227,Forereef,CBC30N,04/01/2020,680,Jan-20,CNAT,0,0,All Stony Coral,SCTLD Suscep. Spp.
228,Forereef,CBC30N,04/01/2020,680,Jan-20,CYAN,0,0,Cyanobacteria,x
229,Forereef,CBC30N,04/01/2020,680,Jan-20,Cyan red,0,0,Cyanobacteria,x
230,Forereef,CBC30N,04/01/2020,680,Jan-20,DLAB,0,0,All Stony Coral,SCTLD Suscep. Spp.
231,Forereef,CBC30N,04/01/2020,680,Jan-20,Dicsp,8,1.176470588,Macroalgae,x
232,Forereef,CBC30N,04/01/2020,680,Jan-20,ENSP,0,0,Sponge,x
233,Forereef,CBC30N,04/01/2020,680,Jan-20,EUNI,3,0.441176471,Octocoral,x
234,Forereef,CBC30N,04/01/2020,680,Jan-20,GORGO,20,2.941176471,Octocoral,x
235,Forereef,CBC30N,04/01/2020,680,Jan-20,GVEN,23,3.382352941,Octocoral,x
236,Forereef,CBC30N,04/01/2020,680,Jan-20,Hal_spp,3,0.441176471,Macroalgae,x
237,Forereef,CBC30N,04/01/2020,680,Jan-20,LSUB_RUB,32,4.705882353,Rubble,x
238,Forereef,CBC30N,04/01/2020,680,Jan-20,Lob_spp,0,0,Macroalgae,x
239,Forereef,CBC30N,04/01/2020,680,Jan-20,MALC,7,1.029411765,All Stony Coral,x
240,Forereef,CBC30N,04/01/2020,680,Jan-20,MCAV,1,0.147058824,All Stony Coral,SCTLD Suscep. Spp.
241,Forereef,CBC30N,04/01/2020,680,Jan-20,MCOM,0,0,All Stony Coral,x
242,Forereef,CBC30N,04/01/2020,680,Jan-20,MURI,0,0,Octocoral,x
243,Forereef,CBC30N,04/01/2020,680,Jan-20,MURO,0,0,Octocoral,x
244,Forereef,CBC30N,04/01/2020,680,Jan-20,Macro,12,1.764705882,Macroalgae,x
245,Forereef,CBC30N,04/01/2020,680,Jan-20,OANN,0,0,All Stony Coral,SCTLD Suscep. Spp.
246,Forereef,CBC30N,04/01/2020,680,Jan-20,OFAV,0,0,All Stony Coral,SCTLD Suscep. Spp.
247,Forereef,CBC30N,04/01/2020,680,Jan-20,Other Inv,1,0.147058824,Other Encrusting Invert,x
248,Forereef,CBC30N,04/01/2020,680,Jan-20,PALY,1,0.147058824,Other Encrusting Invert,x
249,Forereef,CBC30N,04/01/2020,680,Jan-20,PAST,13,1.911764706,All Stony Coral,x
250,Forereef,CBC30N,04/01/2020,680,Jan-20,PPOR,2,0.294117647,All Stony Coral,x
251,Forereef,CBC30N,04/01/2020,680,Jan-20,PSEUGORG,4,0.588235294,Octocoral,x
252,Forereef,CBC30N,04/01/2020,680,Jan-20,PSTR,2,0.294117647,All Stony Coral,SCTLD Suscep. Spp.
253,Forereef,CBC30N,04/01/2020,680,Jan-20,PTER,5,0.735294118,Octocoral,x
254,Forereef,CBC30N,04/01/2020,680,Jan-20,SHAD,2,0.294117647,Unidentified,x
255,Forereef,CBC30N,04/01/2020,680,Jan-20,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
256,Forereef,CBC30N,04/01/2020,680,Jan-20,SINT,0,0,All Stony Coral,SCTLD Suscep. Spp.
257,Forereef,CBC30N,04/01/2020,680,Jan-20,SPONGB,0,0,Sponge,x
258,Forereef,CBC30N,04/01/2020,680,Jan-20,SPONGR,0,0,Sponge,x
259,Forereef,CBC30N,04/01/2020,680,Jan-20,SPONGV,0,0,Sponge,x
260,Forereef,CBC30N,04/01/2020,680,Jan-20,SPTU,1,0.147058824,Sponge,x
261,Forereef,CBC30N,04/01/2020,680,Jan-20,SRAD,0,0,All Stony Coral,x
262,Forereef,CBC30N,04/01/2020,680,Jan-20,SSID,28,4.117647059,All Stony Coral,SCTLD Suscep. Spp.
263,Forereef,CBC30N,04/01/2020,680,Jan-20,Sand,147,21.61764706,Sand,x
264,Forereef,CBC30N,04/01/2020,680,Jan-20,SpgOth,4,0.588235294,Sponge,x
265,Forereef,CBC30N,04/01/2020,680,Jan-20,TAPE,10,1.470588235,Unidentified,x
266,Forereef,CBC30N,04/01/2020,680,Jan-20,THAL,0,0,Thalassia,x
267,Forereef,CBC30N,04/01/2020,680,Jan-20,Tk Tf,10,1.470588235,Turf Algae,x
268,Forereef,CBC30N,04/01/2020,680,Jan-20,Tn Tf,211,31.02941176,Turf Algae,x
269,Forereef,CBC30N,04/01/2020,680,Jan-20,Turbin,0,0,Macroalgae,x
270,Forereef,CBC30N,04/01/2020,680,Jan-20,Unk,10,1.470588235,Unidentified,x
271,Forereef,CBC30N,24/05/2022,680,May-22,AAGA,3,0.441176471,All Stony Coral,x
272,Forereef,CBC30N,24/05/2022,680,May-22,ACER,0,0,All Stony Coral,x
273,Forereef,CBC30N,24/05/2022,680,May-22,AGAR,0,0,All Stony Coral,x
274,Forereef,CBC30N,24/05/2022,680,May-22,ALAM,0,0,All Stony Coral,x
