"","SiteName","Habitat","Date","Total points","Label_General","Points with label","Percent cover"
"51","House Reef","Patch Reef",2019-10-01,840,"Macroalgae",27,3.21428571428571
"52","House Reef","Patch Reef",2019-10-01,840,"Octocoral",93,11.0714285714286
"53","House Reef","Patch Reef",2022-05-21,840,"Turf Algae",361,42.9761904761905
"54","House Reef","Patch Reef",2022-05-21,840,"All Stony Coral",62,7.38095238095238
"55","House Reef","Patch Reef",2022-05-21,840,"Macroalgae",76,9.04761904761905
"56","House Reef","Patch Reef",2022-05-21,840,"Octocoral",88,10.4761904761905
"57","House Reef","Patch Reef",2022-12-11,840,"Turf Algae",519,61.7857142857143
"58","House Reef","Patch Reef",2022-12-11,840,"All Stony Coral",62,7.38095238095238
"59","House Reef","Patch Reef",2022-12-11,840,"Macroalgae",21,2.5
"60","House Reef","Patch Reef",2022-12-11,840,"Octocoral",57,6.78571428571429
"61","SR30N","Forereef",2020-01-05,640,"Turf Algae",316,49.375
"62","SR30N","Forereef",2020-01-05,640,"All Stony Coral",67,10.46875
"63","SR30N","Forereef",2020-01-05,640,"Macroalgae",56,8.75
"64","SR30N","Forereef",2020-01-05,640,"Octocoral",115,17.96875
"65","SR30N","Forereef",2022-05-26,680,"Turf Algae",241,35.4411764705882
"66","SR30N","Forereef",2022-05-26,680,"All Stony Coral",83,12.2058823529412
"67","SR30N","Forereef",2022-05-26,680,"Macroalgae",117,17.2058823529412
"68","SR30N","Forereef",2022-05-26,680,"Octocoral",116,17.0588235294118
"69","SR30N","Forereef",2022-12-05,840,"Turf Algae",404,48.0952380952381
"70","SR30N","Forereef",2022-12-05,840,"All Stony Coral",40,4.76190476190476
"71","SR30N","Forereef",2022-12-05,840,"Macroalgae",64,7.61904761904762
"72","SR30N","Forereef",2022-12-05,840,"Octocoral",150,17.8571428571429
"73","South Reef Central","Forereef",2019-10-06,840,"Turf Algae",293,34.8809523809524
"74","South Reef Central","Forereef",2019-10-06,840,"All Stony Coral",71,8.45238095238095
"75","South Reef Central","Forereef",2019-10-06,840,"Macroalgae",173,20.5952380952381
"76","South Reef Central","Forereef",2019-10-06,840,"Octocoral",114,13.5714285714286
"77","South Reef Central","Forereef",2022-05-21,840,"Turf Algae",334,39.7619047619048
"78","South Reef Central","Forereef",2022-05-21,840,"All Stony Coral",49,5.83333333333333
"79","South Reef Central","Forereef",2022-05-21,840,"Macroalgae",124,14.7619047619048
"80","South Reef Central","Forereef",2022-05-21,840,"Octocoral",146,17.3809523809524
"81","South Reef Central","Forereef",2022-12-04,840,"Turf Algae",388,46.1904761904762
"82","South Reef Central","Forereef",2022-12-04,840,"All Stony Coral",62,7.38095238095238
"83","South Reef Central","Forereef",2022-12-04,840,"Macroalgae",82,9.76190476190476
"84","South Reef Central","Forereef",2022-12-04,840,"Octocoral",131,15.5952380952381
